 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     SPECIFIC HEAT COEFFICIENTS                                                                     

             Cp = A + B*T + C*T^2 + D*T^3 + E*T^4  [J/kg/K]                                                         

    Species                      Cp(298K)         Cp(1000K)          LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)             A(HT)           B(HT)            C(HT)            D(HT)           E(HT)      
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. H2                      1.430307e+004    1.496188e+004    1.000000e+003    9.668577e+003    3.291356e+001   -8.033251e-002    8.313311e-005   -3.042086e-008    1.376373e+004   -2.037475e-001    2.059878e-003   -7.405744e-007    8.259006e-011
    2. H                       2.062119e+004    2.062119e+004    1.000000e+003    2.062119e+004    5.817920e-009   -1.646329e-011    1.897822e-014   -7.652376e-018    2.062119e+004   -1.904102e-007    1.332640e-010   -3.905778e-014    4.109368e-018
    3. O                       1.369608e+003    1.307846e+003    1.000000e+003    1.646505e+003   -1.704217e+000    3.452310e-003   -3.184673e-006    1.097920e-009    1.335293e+003   -4.467958e-002    2.180004e-005   -5.206104e-009    6.383500e-013
    4. O2                      9.181008e+002    1.090161e+003    1.000000e+003    9.828455e+002   -7.786810e-001    2.558754e-003   -2.515619e-006    8.428607e-010    8.529451e+002    3.853702e-001   -1.969525e-004    5.442950e-008   -5.631264e-012
    5. OH                      1.757327e+003    1.804775e+003    1.000000e+003    1.951635e+003   -1.173967e+000    2.257639e-003   -1.897427e-006    6.668948e-010    1.512065e+003    2.681189e-001    6.184647e-005   -4.299553e-008    5.740112e-012
    6. H2O                     1.864380e+003    2.292242e+003    1.000000e+003    1.937798e+003   -9.398754e-001    3.009361e-003   -2.532863e-006    8.178210e-010    1.400278e+003    1.004713e+000   -7.572438e-005   -4.478778e-008    7.762980e-012
    7. HO2                     1.057090e+003    1.442632e+003    1.000000e+003    1.083656e+003   -1.196340e+000    5.329934e-003   -6.115407e-006    2.340789e-009    1.011966e+003    5.642277e-001   -1.596233e-004    2.877953e-008   -2.718298e-012
    8. H2O2                    1.246012e+003    1.836819e+003    1.000000e+003    1.045263e+003   -1.326888e-001    4.090393e-003   -5.274353e-006    2.108204e-009    1.018103e+003    1.199801e+000   -4.647808e-004    9.073358e-008   -7.037698e-012
    9. C                       1.734961e+003    1.731134e+003    1.000000e+003    1.768140e+003   -2.225804e-001    5.079584e-004   -5.068803e-007    1.844961e-010    1.725518e+003    3.321973e-002   -5.014117e-005    2.590982e-008   -3.373119e-012
   10. CH                      2.240942e+003    2.478401e+003    1.000000e+003    2.228739e+003    2.068145e-001   -1.078658e-003    2.019492e-006   -8.979866e-010    1.838305e+003    6.200649e-001    9.224886e-005   -8.346257e-008    1.124514e-011
   11. CH2                     2.496057e+003    3.178875e+003    1.000000e+003    2.230317e+003    5.742961e-001    1.656668e-003   -2.282616e-006    1.000211e-009    1.703615e+003    2.167316e+000   -8.351485e-004    1.542206e-007   -1.112750e-011
   12. CH2(S)                  2.408215e+003    3.153378e+003    1.000000e+003    2.488710e+003   -1.402803e+000    4.880064e-003   -3.964387e-006    1.151795e-009    1.358599e+003    2.759763e+000   -1.192559e-003    2.477125e-007   -2.013659e-011
   13. CH3                     2.554863e+003    3.919407e+003    1.000000e+003    2.031522e+003    1.112071e+000    3.168852e-003   -3.799808e-006    1.406771e-009    1.264018e+003    4.003717e+000   -1.651912e-003    3.294179e-007   -2.583397e-011
   14. CH4                     2.224358e+003    4.588709e+003    1.000000e+003    2.668980e+003   -7.085136e+000    2.548811e-002   -2.512234e-005    8.639099e-009    3.879262e+001    6.940006e+000   -2.971117e-003    6.337946e-007   -5.276687e-011
   15. CO                      1.040366e+003    1.183965e+003    1.000000e+003    1.062545e+003   -1.811768e-001    3.018302e-004    2.692348e-007   -2.684685e-010    8.059732e+002    6.122387e-001   -2.964905e-004    6.828872e-008   -6.045060e-012
   16. CO2                     8.436562e+002    1.234313e+003    1.000000e+003    4.452568e+002    1.697428e+000   -1.345829e-003    4.646060e-007   -2.714864e-011    7.287761e+002    8.339911e-001   -4.184369e-004    9.890112e-008   -8.918917e-012
   17. HCO                     1.191976e+003    1.656269e+003    1.000000e+003    1.209487e+003   -9.294746e-001    3.948337e-003   -3.814948e-006    1.242868e-009    7.943049e+002    1.420305e+000   -7.118656e-004    1.688112e-007   -1.528651e-011
   18. CH2O                    1.178406e+003    2.064668e+003    1.000000e+003    1.327424e+003   -2.743704e+000    1.033479e-002   -1.050274e-005    3.648900e-009    4.875505e+002    2.547561e+000   -1.224653e-003    2.786843e-007   -2.447474e-011
   19. CH2OH                   1.558297e+003    2.494232e+003    1.000000e+003    1.035192e+003    1.499444e+000    1.589462e-003   -2.800565e-006    1.170699e-009    9.893191e+002    2.316328e+000   -1.004951e-003    2.109117e-007   -1.737572e-011
   20. CH3O                    1.219536e+003    2.507479e+003    1.000000e+003    5.642828e+002    1.933431e+000    1.430255e-003   -1.976577e-006    5.560863e-010    1.010252e+003    2.108889e+000   -7.116841e-004    1.056771e-007   -5.660007e-012
   21. CH3OH                   1.374130e+003    2.798088e+003    1.000000e+003    1.483067e+003   -3.952214e+000    1.692996e-002   -1.844447e-005    6.781746e-009    4.644048e+002    3.657157e+000   -1.651633e-003    3.585351e-007   -3.037553e-011
   22. C2H                     1.677794e+003    2.115528e+003    1.000000e+003    9.598860e+002    4.454519e+000   -9.459470e-003    9.792365e-006   -3.631773e-009    1.052282e+003    1.578592e+000   -6.105037e-004    1.010459e-007   -5.887316e-012
   23. C2H2                    1.689430e+003    2.608073e+003    1.000000e+003    2.582283e+002    7.459822e+000   -1.134136e-002    8.945836e-006   -2.714456e-009    1.324403e+003    1.903681e+000   -7.577307e-004    1.492542e-007   -1.153497e-011
   24. C2H3                    1.578694e+003    2.950457e+003    1.000000e+003    9.875742e+002    4.656762e-001    7.968597e-003   -1.099509e-005    4.523702e-009    9.273992e+002    3.175712e+000   -1.438975e-003    3.128400e-007   -2.651820e-011
   25. C2H4                    1.528235e+003    3.354139e+003    1.000000e+003    1.173402e+003   -2.243702e+000    1.692264e-002   -2.049686e-005    7.998658e-009    6.034494e+002    4.340513e+000   -1.988897e-003    4.363297e-007   -3.725595e-011
   26. C2H5                    1.736581e+003    3.711324e+003    1.000000e+003    1.232054e+003   -1.197758e+000    1.422295e-002   -1.714065e-005    6.594723e-009    5.592154e+002    4.977254e+000   -2.283621e-003    5.012872e-007   -4.281155e-011
   27. C2H6                    1.745360e+003    4.079993e+003    1.000000e+003    1.186594e+003   -1.521196e+000    1.657468e-002   -1.958935e-005    7.429257e-009    2.963791e+002    5.996054e+000   -2.772116e-003    6.122121e-007   -5.253648e-011
   28. HCCO                    1.180002e+003    1.699596e+003    1.000000e+003    4.563078e+002    3.577762e+000   -4.808665e-003    3.500905e-006   -1.026714e-009    1.140547e+003    8.278877e-001   -3.229111e-004    5.801024e-008   -3.932967e-012
   29. CH2CO                   1.230629e+003    2.015345e+003    1.000000e+003    4.224452e+002    3.583716e+000   -3.440492e-003    1.848137e-006   -3.984613e-010    8.922856e+002    1.780814e+000   -8.246613e-004    1.826278e-007   -1.572104e-011
   30. HCCOH                   1.387639e+003    2.090680e+003    1.000000e+003    2.457280e+002    6.145744e+000   -1.006091e-002    8.532056e-006   -2.771935e-009    1.171669e+003    1.343455e+000   -5.074985e-004    8.898107e-008   -5.921827e-012
   31. N                       1.483983e+003    1.483983e+003    1.000000e+003    1.483983e+003    0.000000e+000    0.000000e+000    0.000000e+000    0.000000e+000    1.434088e+003    1.038139e-001   -7.065167e-005    1.794210e-008   -1.208614e-012
   32. NH                      1.944247e+003    2.082962e+003    1.000000e+003    1.934176e+003    1.726529e-001   -8.245512e-004    1.374195e-006   -5.735106e-010    1.541452e+003    7.363922e-001   -2.352195e-004    4.338499e-008   -3.048053e-012
   33. NH2                     2.112969e+003    2.717651e+003    1.000000e+003    2.181491e+003   -1.092892e+000    3.687793e-003   -2.911862e-006    8.531219e-010    1.470970e+003    1.664298e+000   -4.846123e-004    7.110571e-008   -4.110070e-012
   34. NH3                     2.093113e+003    3.319211e+003    1.000000e+003    2.092420e+003   -2.275248e+000    1.060289e-002   -1.113520e-005    4.034354e-009    1.286128e+003    2.766242e+000   -8.435376e-004    1.165185e-007   -6.140910e-012
   35. NNH                     1.194241e+003    1.654451e+003    1.000000e+003    1.244703e+003   -1.389384e+000    5.746799e-003   -6.224377e-006    2.276709e-009    1.079131e+003    8.283831e-001   -2.984239e-004    4.825205e-008   -2.891210e-012
   36. NO                      9.952056e+002    1.132747e+003    1.000000e+003    1.168912e+003   -1.285429e+000    3.059393e-003   -2.586981e-006    7.768525e-010    9.034920e+002    3.300470e-001   -1.189203e-004    1.924626e-008   -1.117686e-012
   37. NO2                     8.080036e+002    1.152340e+003    1.000000e+003    7.128029e+002   -2.865338e-001    3.010559e-003   -3.700514e-006    1.416026e-009    8.828194e+002    3.926160e-001   -1.496565e-004    2.846040e-008   -1.899629e-012
   38. N2O                     8.774833e+002    1.254701e+003    1.000000e+003    4.263965e+002    2.135568e+000   -2.582638e-003    1.829016e-006   -5.536397e-010    9.111230e+002    4.962693e-001   -1.810712e-004    3.022682e-008   -1.846631e-012
   39. HNO                     1.092366e+003    1.540281e+003    1.000000e+003    1.215372e+003   -1.519953e+000    4.952434e-003   -4.594239e-006    1.486667e-009    7.986996e+002    9.368061e-001   -2.105820e-004    1.540955e-008   -5.183715e-014
   40. CN                      1.120593e+003    1.285374e+003    1.000000e+003    1.154570e+003   -3.053493e-001    6.852441e-004   -1.007154e-007   -1.483755e-010    1.197087e+003    1.388538e-002    9.493016e-005   -2.193877e-008    1.410377e-012
   41. HCN                     1.326542e+003    1.858753e+003    1.000000e+003    6.949706e+002    3.092210e+000   -4.107627e-003    3.104879e-006   -9.256793e-010    1.169747e+003    9.679869e-001   -3.270958e-004    5.113015e-008   -3.014864e-012
   42. H2CN                    1.364044e+003    2.301591e+003    1.000000e+003    8.457597e+002    1.689120e+000    3.176840e-004   -4.812423e-007   -6.973033e-011    1.545119e+003    8.806470e-001   -8.469247e-005   -4.850795e-008    9.025848e-012
   43. HCNN                    1.196519e+003    1.734174e+003    1.000000e+003    5.114995e+002    3.234079e+000   -3.812733e-003    2.456982e-006   -6.556532e-010    1.194422e+003    8.084065e-001   -3.238488e-004    5.926766e-008   -4.071759e-012
   44. HCNO                    1.087435e+003    1.657133e+003    1.382000e+003    5.115795e+002    2.464005e+000   -2.025120e-003    8.530567e-007   -1.463889e-010    1.275162e+003    5.851113e-001   -2.081357e-004    3.317408e-008   -1.960288e-012
   45. HOCN                    1.075724e+003    1.543462e+003    1.368000e+003    7.316436e+002    1.330832e+000   -6.212664e-004    9.994665e-008    2.306614e-012    1.139743e+003    6.121867e-001   -2.160525e-004    3.425175e-008   -2.016326e-012
   46. HNCO                    1.080261e+003    1.614436e+003    1.478000e+003    7.016736e+002    1.411250e+000   -4.407003e-004   -1.277888e-007    7.000106e-011    1.202761e+003    6.142634e-001   -2.113714e-004    3.299410e-008   -1.922852e-012
   47. NCO                     9.543272e+002    1.328949e+003    1.000000e+003    5.594024e+002    1.742396e+000   -1.659571e-003    9.501755e-007   -2.634538e-010    1.019531e+003    4.561558e-001   -1.742029e-004    2.926515e-008   -1.800303e-012
   48. N2                      1.037719e+003    1.169485e+003    1.000000e+003    9.790364e+002    4.179611e-001   -1.176271e-003    1.674383e-006   -7.256245e-010    8.686170e+002    4.416266e-001   -1.687218e-004    2.996767e-008   -2.004372e-012
   49. AR                      5.203303e+002    5.203303e+002    1.000000e+003    5.203303e+002    0.000000e+000    0.000000e+000    0.000000e+000    0.000000e+000    5.203303e+002    0.000000e+000    0.000000e+000    0.000000e+000    0.000000e+000
   50. C3H7                    1.652415e+003    3.702378e+003    1.000000e+003    2.029077e+002    5.015418e+000    4.592557e-004   -3.783866e-006    1.808664e-009    1.486314e+003    3.095893e+000   -1.019471e-003    1.472259e-007   -7.601143e-012
   51. C3H8                    1.667483e+003    3.959826e+003    1.000000e+003    1.760210e+002    4.982338e+000    1.151277e-003   -4.143844e-006    1.794033e-009    1.420557e+003    3.558349e+000   -1.182553e-003    1.724768e-007   -9.019839e-012
   52. CH2CHO                  1.276829e+003    2.269200e+003    1.000000e+003    6.584857e+002    2.074236e+000    3.653558e-004   -1.382734e-006    5.538568e-010    1.154245e+003    1.570484e+000   -5.299514e-004    7.862095e-008   -4.203139e-012
   53. CH3CHO                  1.255397e+003    2.556187e+003    1.000000e+003    8.926273e+002   -6.026934e-001    8.971632e-003   -1.084461e-005    4.139228e-009    1.019959e+003    2.212583e+000   -7.976648e-004    1.290446e-007   -7.735389e-012

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                           ENTHALPY COEFFICIENTS                                                                     

             H/(RT) = A + B*T + C*T^2 + D*T^3 + E*T^4 + F/T  [-]                                                         

    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. H2                     -4.325324e+003    2.068653e+007    1.000000e+003    2.344331e+000    3.990260e-003   -6.492717e-006    5.039302e-009   -1.475224e-012   -9.179352e+002    3.337279e+000   -2.470124e-005    1.664856e-007   -4.489160e-011    4.005108e-015   -9.501589e+002
    2. H                       2.179941e+008    2.325859e+008    1.000000e+003    2.500000e+000    3.526664e-013   -6.653065e-016    5.752041e-019   -1.855465e-022    2.547366e+004    2.500000e+000   -1.154215e-011    5.385398e-015   -1.183788e-018    9.963947e-023    2.547366e+004
    3. O                       2.491703e+008    2.640319e+008    1.000000e+003    3.168267e+000   -1.639659e-003    2.214355e-006   -1.532017e-009    4.225319e-013    2.912226e+004    2.569421e+000   -4.298706e-005    1.398282e-008   -2.504445e-012    2.456674e-016    2.921758e+004
    4. O2                     -4.406652e+003    2.270681e+007    1.000000e+003    3.782456e+000   -1.498367e-003    3.282434e-006   -2.420324e-009    6.487457e-013   -1.063944e+003    3.282538e+000    7.415438e-004   -2.526556e-007    5.236764e-011   -4.334356e-015   -1.088458e+003
    5. OH                      3.934240e+007    6.026563e+007    1.000000e+003    3.992015e+000   -1.200659e-003    1.539313e-006   -9.702833e-010    2.728229e-013    3.615081e+003    3.092888e+000    2.742149e-004    4.216841e-008   -2.198654e-011    2.348248e-015    3.858657e+003
    6. H2O                    -2.418296e+008   -2.158221e+008    1.000000e+003    4.198641e+000   -1.018217e-003    2.173467e-006   -1.371993e-009    3.543956e-013   -3.029373e+004    3.033992e+000    1.088459e-003   -5.469084e-008   -2.426050e-011    3.364020e-015   -3.000430e+004
    7. HO2                     1.254669e+007    4.210578e+007    1.000000e+003    4.301798e+000   -2.374560e-003    7.052763e-006   -6.069097e-009    1.858450e-012    2.948080e+002    4.017211e+000    1.119910e-003   -2.112194e-007    2.856159e-011   -2.158171e-015    1.118567e+002
    8. H2O2                   -1.358856e+008   -9.802240e+007    1.000000e+003    4.276113e+000   -2.714112e-004    5.577857e-006   -5.394270e-009    1.724909e-012   -1.770258e+004    4.165003e+000    2.454158e-003   -6.337974e-007    9.279650e-011   -5.758166e-015   -1.786179e+004
    9. C                       7.166727e+008    7.312752e+008    1.000000e+003    2.554240e+000   -1.607689e-004    2.445974e-007   -1.830587e-010    5.330429e-014    8.544388e+004    2.492669e+000    2.399446e-005   -2.414450e-008    9.357276e-012   -9.745558e-016    8.545130e+004
   10. CH                      5.973302e+008    6.185574e+008    1.000000e+003    3.489817e+000    1.619178e-004   -5.629969e-007    7.905433e-010   -2.812181e-013    7.079729e+004    2.878465e+000    4.854568e-004    4.814855e-008   -3.267196e-011    3.521588e-015    7.101244e+004
   11. CH2                     3.923278e+008    4.203588e+008    1.000000e+003    3.762679e+000    4.844361e-004    9.316328e-007   -9.627279e-010    3.374834e-013    4.600404e+004    2.874101e+000    1.828196e-003   -4.696487e-007    6.504489e-011   -3.754551e-015    4.626360e+004
   12. CH2(S)                  4.298849e+008    4.570711e+008    1.000000e+003    4.198604e+000   -1.183307e-003    2.744321e-006   -1.672040e-009    3.886295e-013    5.049682e+004    2.292038e+000    2.327943e-003   -6.706398e-007    1.044765e-010   -6.794327e-015    5.092600e+004
   13. CH3                     1.468934e+008    1.814641e+008    1.000000e+003    3.673590e+000    1.005476e-003    1.910073e-006   -1.717794e-009    5.087715e-013    1.644500e+004    2.285718e+000    3.619950e-003   -9.957145e-007    1.489212e-010   -9.343088e-015    1.677558e+004
   14. CH4                    -7.460492e+007   -3.594844e+007    1.000000e+003    5.149876e+000   -6.835489e-003    1.639335e-005   -1.211858e-008    3.333879e-012   -1.024665e+004    7.485150e-002    6.695473e-003   -1.910953e-006    3.057313e-010   -2.036305e-014   -9.468345e+003
   15. CO                     -1.105337e+008   -8.883940e+007    1.000000e+003    3.579533e+000   -3.051768e-004    3.389381e-007    2.267515e-010   -1.808849e-013   -1.434409e+004    2.715186e+000    1.031264e-003   -3.329419e-007    5.751325e-011   -4.072954e-015   -1.415187e+004
   16. CO2                    -3.935133e+008   -3.601107e+008    1.000000e+003    2.356774e+000    4.492298e-003   -2.374521e-006    6.147976e-010   -2.873991e-014   -4.837197e+004    3.857460e+000    2.207185e-003   -7.382713e-007    1.308725e-010   -9.441683e-015   -4.875917e+004
   17. HCO                     4.199457e+007    7.126357e+007    1.000000e+003    4.221186e+000   -1.621963e-003    4.593315e-006   -3.328602e-009    8.675377e-013    3.839565e+003    2.772174e+000    2.478478e-003   -8.281520e-007    1.472904e-010   -1.067017e-014    4.011918e+003
   18. CH2O                   -1.085847e+008   -7.379428e+007    1.000000e+003    4.793723e+000   -4.954167e-003    1.244067e-005   -9.482132e-009    2.635453e-012   -1.430896e+004    1.760690e+000    4.600000e-003   -1.474196e-006    2.516030e-010   -1.767711e-014   -1.399583e+004
   19. CH2OH                  -1.463504e+007    3.081792e+007    1.000000e+003    3.863889e+000    2.798362e-003    1.977573e-006   -2.613300e-009    8.739346e-013   -3.193914e+003    3.692666e+000    4.322884e-003   -1.250337e-006    1.968087e-010   -1.297108e-014   -3.242506e+003
   20. CH3O                    1.629803e+007    5.856130e+007    1.000000e+003    2.106204e+000    3.608298e-003    1.779491e-006   -1.844409e-009    4.151220e-013    9.786011e+002    3.770799e+000    3.935748e-003   -8.854613e-007    9.861077e-011   -4.225232e-015    1.278325e+002
   21. CH3OH                  -2.009454e+008   -1.524698e+008    1.000000e+003    5.715396e+000   -7.615456e-003    2.174804e-005   -1.777017e-008    5.227054e-012   -2.564277e+004    1.789708e+000    7.046915e-003   -2.121669e-006    3.454277e-010   -2.341204e-014   -2.537487e+004
   22. C2H                     5.661959e+008    5.996794e+008    1.000000e+003    2.889657e+000    6.704981e-003   -9.492317e-006    7.369776e-009   -2.186630e-012    6.683939e+004    3.167807e+000    2.376110e-003   -6.126236e-007    7.604756e-011   -3.544655e-015    6.712107e+004
   23. C2H2                    2.281921e+008    2.692476e+008    1.000000e+003    8.086811e-001    1.168078e-002   -1.183906e-005    7.003811e-009   -1.700146e-012    2.642898e+004    4.147570e+000    2.980833e-003   -7.909828e-007    1.168530e-010   -7.224704e-015    2.593600e+004
   24. C2H3                    2.997320e+008    3.448140e+008    1.000000e+003    3.212466e+000    7.573958e-004    8.640314e-006   -8.941446e-009    2.943017e-012    3.485985e+004    3.016724e+000    5.165115e-003   -1.560274e-006    2.544082e-010   -1.725214e-014    3.461287e+004
   25. C2H4                    5.249327e+007    1.031384e+008    1.000000e+003    3.959201e+000   -3.785261e-003    1.903301e-005   -1.728972e-008    5.397687e-012    5.089776e+003    2.036111e+000    7.322708e-003   -2.236926e-006    3.680573e-010   -2.514121e-014    4.939886e+003
   26. C2H5                    1.186500e+008    1.767508e+008    1.000000e+003    4.306466e+000   -2.093294e-003    1.657143e-005   -1.497817e-008    4.610180e-012    1.284163e+004    1.954656e+000    8.698636e-003   -2.660689e-006    4.380442e-010   -2.992832e-014    1.285752e+004
   27. C2H6                   -8.385893e+007   -1.944102e+007    1.000000e+003    4.291425e+000   -2.750771e-003    1.998128e-005   -1.771166e-008    5.373715e-012   -1.152221e+004    1.071881e+000    1.084263e-002   -3.341869e-006    5.535300e-010   -3.800058e-014   -1.142639e+004
   28. HCCO                    1.774035e+008    2.206211e+008    1.000000e+003    2.251721e+000    8.827511e-003   -7.909700e-006    4.318940e-009   -1.013296e-012    2.005945e+004    5.628206e+000    2.042670e-003   -5.311516e-007    7.156513e-011   -3.881566e-015    1.932722e+004
   29. CH2CO                  -4.770749e+007    2.387779e+006    1.000000e+003    2.135836e+000    9.059436e-003   -5.798249e-006    2.335994e-009   -4.029152e-013   -7.042918e+003    4.511297e+000    4.501799e-003   -1.389799e-006    2.308365e-010   -1.589676e-014   -7.551053e+003
   30. HCCOH                   7.824958e+007    1.316664e+008    1.000000e+003    1.242373e+000    1.553610e-002   -1.695562e-005    1.078428e-008   -2.802919e-012    8.031614e+003    5.923829e+000    3.396180e-003   -8.552855e-007    1.124696e-010   -5.988020e-015    7.264626e+003
   31. N                       4.726742e+008    4.872660e+008    1.000000e+003    2.500000e+000    0.000000e+000    0.000000e+000    0.000000e+000    0.000000e+000    5.610464e+004    2.415943e+000    8.744533e-005   -3.967456e-008    7.556561e-012   -4.072196e-016    5.613377e+004
   32. NH                      3.569118e+008    3.778620e+008    1.000000e+003    3.492909e+000    1.558960e-004   -4.963495e-007    6.204110e-010   -2.071393e-013    4.188063e+004    2.783693e+000    6.649215e-004   -1.415935e-007    1.958713e-011   -1.100889e-015    4.212085e+004
   33. NH2                     1.920440e+008    2.189341e+008    1.000000e+003    4.204003e+000   -1.053069e-003    2.368945e-006   -1.402880e-009    3.288143e-013    2.188591e+004    2.834742e+000    1.603654e-003   -3.113027e-007    3.425738e-011   -1.584123e-015    2.217196e+004
   34. NH3                    -4.590356e+007   -1.326921e+007    1.000000e+003    4.286027e+000   -2.330261e-003    7.239504e-006   -5.702222e-009    1.652761e-012   -6.741729e+003    2.634452e+000    2.833128e-003   -5.759559e-007    5.966790e-011   -2.515757e-015   -6.544696e+003
   35. NNH                     2.495104e+008    2.790007e+008    1.000000e+003    4.344693e+000   -2.424854e-003    6.686486e-006   -5.431616e-009    1.589391e-012    2.879197e+004    3.766754e+000    1.445754e-003   -3.472207e-007    4.210648e-011   -2.018379e-015    2.865070e+004
   36. NO                      9.126000e+007    1.134977e+008    1.000000e+003    4.218476e+000   -2.319488e-003    3.680341e-006   -2.334034e-009    5.607154e-013    9.844623e+003    3.260606e+000    5.955522e-004   -1.430568e-007    1.736442e-011   -8.067220e-016    9.920975e+003
   37. NO2                     3.418740e+007    6.692056e+007    1.000000e+003    3.944031e+000   -7.927145e-004    5.552604e-006   -5.118857e-009    1.567011e-012    2.896618e+003    4.884754e+000    1.086198e-003   -2.760230e-007    3.936877e-011   -2.102179e-015    2.316498e+003
   38. N2O                     8.159373e+007    1.158083e+008    1.000000e+003    2.257150e+000    5.652364e-003   -4.557106e-006    2.420495e-009   -5.861436e-013    8.741774e+003    4.823073e+000    1.313513e-003   -3.195029e-007    4.000178e-011   -1.955046e-015    8.073405e+003
   39. HNO                     1.062531e+008    1.349398e+008    1.000000e+003    4.533492e+000   -2.834809e-003    6.157736e-006   -4.284274e-009    1.109091e-012    1.154830e+004    2.979251e+000    1.747203e-003   -2.618326e-007    1.436990e-011   -3.867183e-017    1.175058e+004
   40. CN                      4.386764e+008    4.605101e+008    1.000000e+003    3.612935e+000   -4.777566e-004    7.147659e-007   -7.879081e-011   -9.286071e-014    5.170834e+004    3.745980e+000    2.172539e-005    9.901995e-008   -1.716295e-011    8.826835e-016    5.153619e+004
   41. HCN                     1.308098e+008    1.618653e+008    1.000000e+003    2.258989e+000    5.025585e-003   -4.450588e-006    2.523087e-009   -6.017806e-013    1.471263e+004    3.802239e+000    1.573211e-003   -3.544062e-007    4.154939e-011   -1.959951e-015    1.440729e+004
   42. H2CN                    2.473273e+008    2.846994e+008    1.000000e+003    2.851661e+000    2.847617e-003    3.570467e-007   -4.056530e-010   -4.702216e-014    2.863782e+004    5.209703e+000    1.484646e-003   -9.518630e-008   -4.088875e-011    6.086518e-015    2.767711e+004
   43. HCNN                    4.621121e+008    5.061739e+008    1.000000e+003    2.524319e+000    7.980309e-003   -6.272118e-006    3.031385e-009   -6.471476e-013    5.426198e+004    5.894636e+000    1.994798e-003   -5.327460e-007    7.312349e-011   -4.018937e-015    5.345294e+004
   44. HCNO                    1.710282e+008    2.143511e+008    1.382000e+003    2.647280e+000    6.375267e-003   -3.493141e-006    1.103582e-009   -1.515043e-013    1.929903e+004    6.598605e+000    1.513893e-003   -3.590145e-007    4.291663e-011   -2.028788e-015    1.796613e+004
   45. HOCN                   -1.180897e+007    2.878853e+007    1.368000e+003    3.786050e+000    3.443340e-003   -1.071626e-006    1.292989e-010    2.387216e-015   -2.826984e+003    5.897849e+000    1.583947e-003   -3.726702e-007    4.431079e-011   -2.086784e-015   -3.706533e+003
   46. HNCO                   -1.180847e+008   -7.614406e+007    1.478000e+003    3.630963e+000    3.651412e-003   -7.601667e-007   -1.653178e-010    7.244715e-014   -1.558736e+004    6.223951e+000    1.589320e-003   -3.645959e-007    4.268379e-011   -1.990044e-015   -1.665993e+004
   47. NCO                     1.317903e+008    1.667100e+008    1.000000e+003    2.826931e+000    4.402584e-003   -2.795538e-006    1.200424e-009   -2.662719e-013    1.468248e+004    5.152184e+000    1.152588e-003   -2.934438e-007    3.697274e-011   -1.819560e-015    1.400412e+004
   48. N2                     -2.930724e+003    2.146986e+007    1.000000e+003    3.298677e+000    7.041202e-004   -1.321074e-006    1.410379e-009   -4.889708e-013   -1.020900e+003    2.926640e+000    7.439884e-004   -1.894920e-007    2.524260e-011   -1.350670e-015   -9.227977e+002
   49. AR                     -3.117923e+003    1.458876e+007    1.000000e+003    2.500000e+000    0.000000e+000    0.000000e+000    0.000000e+000    0.000000e+000   -7.453750e+002    2.500000e+000    0.000000e+000    0.000000e+000    0.000000e+000    0.000000e+000   -7.453750e+002
