
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60170             0.60170
MW[kg/kmol]                   28.04953            28.04953
H[J/kg]                       -1.279381e+006      -1.279400e+006
U[J/kg]                       -1.561914e+006      -1.561934e+006
E[J/kg]                       -1.279380e+006      -1.279400e+006
Conv.(%) O2                   0.000e+000          3.238e-003
Conv.(%) H2O                  0.000e+000          -2.203e-003
Conv.(%) CH4                  0.000e+000          2.249e-002
Conv.(%) CO2                  0.000e+000          -2.156e-007
Conv.(%) C2H6                 0.000e+000          3.838e-001
Conv.(%) NO                   0.000e+000          1.549e-001
Conv.(%) NO2                  0.000e+000          -5.144e-001
Conv.(%) N2                   0.000e+000          4.850e-011
Total species (kmol/m2/s)     2.145129e-002       2.145130e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.265243e-003       9.265243e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.064618e-002       3.064618e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       1.487949e-010
H                             0.000000e+000       1.588710e-014
O                             0.000000e+000       3.751718e-012
O2                            9.696527e-002       9.696213e-002
OH                            0.000000e+000       1.254871e-010
H2O                           8.349338e-002       8.349522e-002
HO2                           0.000000e+000       2.192194e-010
H2O2                          0.000000e+000       7.920235e-012
C                             0.000000e+000       2.470975e-034
CH                            0.000000e+000       1.416777e-026
CH2                           0.000000e+000       1.482271e-016
CH2(S)                        0.000000e+000       6.952079e-018
CH3                           0.000000e+000       2.673921e-008
CH4                           2.522311e-003       2.521744e-003
CO                            0.000000e+000       1.579700e-008
CO2                           1.019834e-001       1.019834e-001
HCO                           0.000000e+000       9.110484e-015
CH2O                          0.000000e+000       8.325229e-007
CH2OH                         0.000000e+000       4.329915e-018
CH3O                          0.000000e+000       2.845129e-013
CH3OH                         0.000000e+000       8.523943e-010
C2H                           0.000000e+000       4.483465e-023
